Date,Day,GuinSus,GuinDeath,GuinLab,LibSus,LibDeath,LibLab,NigSus,NigDeath,NigLab,SLSus,SLDeath,SLLab,SenSus,SenDeath,SenLab
3/25/2014,0,86,59,0,0,0,0,0,0,0,0,0,0,0,0,0
3/26/2014,1,86,60,1,0,0,0,0,0,0,0,0,0,0,0,0
3/27/2014,2,103,66,4,0,0,0,0,0,0,0,0,0,0,0,0
3/31/2014,6,112,70,24,0,0,0,0,0,0,0,0,0,0,0,0
4/1/2014,7,122,80,24,0,0,0,0,0,0,0,0,0,0,0,0
4/2/2014,8,127,83,35,0,0,0,0,0,0,0,0,0,0,0,0
4/7/2014,13,151,95,52,0,0,0,0,0,0,0,0,0,0,0,0
4/10/2014,16,157,101,66,0,0,0,0,0,0,0,0,0,0,0,0
4/17/2014,23,197,122,101,0,0,0,0,0,0,0,0,0,0,0,0
4/21/2014,27,203,129,109,0,0,0,0,0,0,0,0,0,0,0,0
4/23/2014,29,208,136,112,0,0,0,0,0,0,0,0,0,0,0,0
4/30/2014,36,221,146,126,0,0,0,0,0,0,0,0,0,0,0,0
5/5/2014,41,231,155,127,0,0,0,0,0,0,0,0,0,0,0,0
5/14/2014,50,233,157,129,0,0,0,0,0,0,0,0,0,0,0,0
5/23/2014,59,258,174,146,0,0,0,0,0,0,0,0,0,0,0,0
5/28/2014,64,281,186,163,0,0,0,0,0,0,9,5,7,0,0,0
6/2/2014,69,291,193,172,0,0,0,0,0,0,50,6,14,0,0,0
6/5/2014,72,344,215,207,0,0,0,0,0,0,81,7,31,0,0,0
6/10/2014,77,372,236,219,1,1,1,0,0,0,89,7,33,0,0,0
6/11/2014,78,376,241,233,1,1,1,0,0,0,117,19,43,0,0,0
6/18/2014,85,398,264,254,33,24,18,0,0,0,97,49,92,0,0,0
6/24/2014,91,390,270,260,51,34,34,0,0,0,158,34,147,0,0,0
7/2/2014,99,413,303,293,107,65,52,0,0,0,239,99,199,0,0,0
7/7/2014,104,412,305,292,115,75,54,0,0,0,252,101,211,0,0,0
7/8/2014,105,408,307,294,131,84,63,0,0,0,305,127,269,0,0,0
7/14/2014,111,409,309,296,142,88,70,0,0,0,337,142,298,0,0,0
7/16/2014,113,406,304,297,172,105,70,0,0,0,386,192,339,0,0,0
7/24/2014,121,415,314,304,224,127,77,0,0,0,454,219,405,0,0,0
7/24/2014,121,410,310,301,196,116,76,0,0,0,442,206,368,0,0,0
7/28/2014,125,427,319,311,249,129,84,0,0,0,525,224,419,0,0,0
7/31/2014,128,460,339,336,329,156,100,1,0,0,533,233,473,0,0,0
8/3/2014,131,472,346,337,391,227,109,2,1,0,574,252,507,0,0,0
8/4/2014,132,485,358,340,468,255,129,4,1,0,646,273,540,0,0,0
8/8/2014,136,495,367,355,554,294,148,13,2,0,717,298,631,0,0,0
8/12/2014,140,506,373,362,599,323,158,13,2,0,730,315,656,0,0,0
8/13/2014,141,510,377,369,670,355,166,12,3,10,783,334,706,0,0,0
8/15/2014,143,519,380,376,786,413,190,12,4,11,810,348,733,0,0,0
8/19/2014,147,543,394,396,834,466,200,15,4,12,848,365,775,0,0,0
8/21/2014,149,579,396,423,972,576,242,15,4,12,907,374,783,0,0,0
8/22/2014,150,607,406,443,1028,624,269,16,5,12,910,392,804,0,0,0
8/28/2014,156,648,430,482,1378,694,322,17,6,13,1026,422,935,0,0,0
8/31/2014,159,771,494,579,1698,871,403,21,7,16,1216,476,1107,1,0,1
,,,500,,,,,,,,,,,,,